osc,fondoscalaOsc,sigmaOsc,mult,fondoscalaMult,sigmaMult
0.0510,0.0100,0.0025,0.0500,0.4,0.0017
0.1550,0.0500,0.0110,0.1502,0.4,0.0047
0.2050,0.0500,0.0117,0.1993,0.4,0.0062
0.2900,0.1000,0.0218,0.2825,0.4,0.0087
0.3600,0.1000,0.0227,0.3506,0.4,0.0107
0.4600,0.1000,0.0243,0.4550,4,0.0066
0.5400,0.2000,0.0432,0.5210,4,0.0072
0.6400,0.2000,0.0444,0.6200,4,0.0082
0.7600,0.2000,0.0460,0.7330,4,0.0093
0.8000,0.2000,0.0466,0.7770,4,0.0098
0.8200,0.2000,0.0470,0.8020,4,0.0100
0.8800,0.2000,0.0479,0.8700,4,0.0107
