V,fondoscalaV,sigmaV,I,fondoscalaI,sigmaI
60,  20, 1.8, 0.007, 4, 2
72,  20, 2  , 0.010, 4, 2
76,  20, 2  , 0.012, 4, 2
80,  20, 2  , 0.013, 4, 2
84,  20, 3  , 0.015, 4, 2
88,  20, 3  , 0.017, 4, 2
92,  20, 3  , 0.020, 4, 2
96,  20, 3  , 0.022, 4, 2
100, 20, 3  , 0.025, 4, 2
105, 50, 3  , 0.028, 4, 2
110, 50, 3  , 0.033, 4, 2
115, 50, 3  , 0.038, 4, 2
120, 50, 4  , 0.043, 4, 2
125, 50, 4  , 0.048, 4, 2
130, 50, 4  , 0.055, 4, 2
135, 50, 4  , 0.061, 4, 2
140, 50, 4  , 0.068, 4, 2
145, 50, 4  , 0.077, 4, 2
150, 50, 5  , 0.088, 4, 2
155, 50, 5  , 0.099, 4, 2
160, 50, 5  , 0.111, 4, 2
165, 50, 5  , 0.122, 4, 2
170, 50, 5  , 0.133, 4, 3
175, 50, 5  , 0.153, 4, 3
180, 50, 5  , 0.170, 4, 3
185, 50, 6  , 0.184, 4, 3
190, 50, 6  , 0.203, 4, 3
195, 50, 6  , 0.224, 4, 3
200, 50, 6  , 0.245, 4, 3
205, 50, 6  , 0.275, 4, 3
210, 50, 6  , 0.300, 4, 3
215, 50, 6  , 0.331, 4, 3
220, 50, 7  , 0.359, 4, 3
225, 50, 7  , 0.386, 4, 4
230, 50, 7  , 0.437, 4, 4
235, 50, 7  , 0.476, 4, 4
240, 50, 7  , 0.527, 4, 4
245, 50, 7  , 0.576, 4, 4
250, 50, 8  , 0.633, 4, 5
255, 50, 8  , 0.711, 4, 5
260, 50, 8  , 0.754, 4, 5
265, 50, 8  , 0.822, 4, 5
270, 50, 8  , 0.901, 4, 6
275, 50, 8  , 0.974, 4, 6
280, 50, 8  , 1.087, 4, 6
285, 50, 9  , 1.150, 4, 7
290, 50, 9  , 1.285, 4, 7
