V,fondoscalaV,sigmaV,I,fondoscalaI,sigmaI
400, 200, 40, 0.008,  4, 2
420, 200, 40, 0.015,  4, 2
440, 200, 40, 0.023,  4, 2
460, 200, 40, 0.033,  4, 2
480, 200, 40, 0.054,  4, 2
500, 200, 40, 0.080,  4, 2
520, 200, 40, 0.124,  4, 2
540, 200, 40, 0.174,  4, 2
560, 200, 40, 0.256,  4, 2
580, 200, 40, 0.368,  4, 2
600, 200, 40, 0.539,  4, 2
620, 200, 40, 0.751,  4, 2
640, 200, 40, 1.001,  4, 2
660, 200, 40, 1.297,  4, 2
680, 200, 40, 1.737,  4, 2
700, 200, 50, 2.153,  4, 2
720, 200, 50, 2.756,  4, 2
740, 200, 50, 3.263,  4, 2
760, 200, 50, 3.906,  4, 2
780, 200, 50, 4.78 , 40, 20
800, 200, 50, 5.56 , 40, 20
