V,fondoscalaV,sigmaV,I,fondoscalaI,sigmaI
60,  20, 1.8, 0.007, 4, 0.002
72,  20, 2  , 0.010, 4, 0.002
76,  20, 2  , 0.012, 4, 0.002
80,  20, 2  , 0.013, 4, 0.002
84,  20, 3  , 0.015, 4, 0.002
88,  20, 3  , 0.017, 4, 0.002
92,  20, 3  , 0.020, 4, 0.002
96,  20, 3  , 0.022, 4, 0.002
100, 20, 3  , 0.025, 4, 0.002
105, 50, 3  , 0.028, 4, 0.002
110, 50, 3  , 0.033, 4, 0.002
115, 50, 3  , 0.038, 4, 0.002
120, 50, 4  , 0.043, 4, 0.002
125, 50, 4  , 0.048, 4, 0.002
130, 50, 4  , 0.055, 4, 0.002
135, 50, 4  , 0.061, 4, 0.002
140, 50, 4  , 0.068, 4, 0.002
145, 50, 4  , 0.077, 4, 0.002
150, 50, 5  , 0.088, 4, 0.002
155, 50, 5  , 0.099, 4, 0.002
160, 50, 5  , 0.111, 4, 0.002
165, 50, 5  , 0.122, 4, 0.002
170, 50, 5  , 0.133, 4, 0.003
175, 50, 5  , 0.153, 4, 0.003
180, 50, 5  , 0.170, 4, 0.003
185, 50, 6  , 0.184, 4, 0.003
190, 50, 6  , 0.203, 4, 0.003
195, 50, 6  , 0.224, 4, 0.003
200, 50, 6  , 0.245, 4, 0.003
205, 50, 6  , 0.275, 4, 0.003
210, 50, 6  , 0.300, 4, 0.003
215, 50, 6  , 0.331, 4, 0.003
220, 50, 7  , 0.359, 4, 0.003
225, 50, 7  , 0.386, 4, 0.004
230, 50, 7  , 0.437, 4, 0.004
235, 50, 7  , 0.476, 4, 0.004
240, 50, 7  , 0.527, 4, 0.004
245, 50, 7  , 0.576, 4, 0.004
250, 50, 8  , 0.633, 4, 0.005
255, 50, 8  , 0.711, 4, 0.005
260, 50, 8  , 0.754, 4, 0.005
265, 50, 8  , 0.822, 4, 0.005
270, 50, 8  , 0.901, 4, 0.006
275, 50, 8  , 0.974, 4, 0.006
280, 50, 8  , 1.087, 4, 0.006
285, 50, 9  , 1.150, 4, 0.007
290, 50, 9  , 1.285, 4, 0.007
