V,fondoscalaV,sigmaV,I,fondoscalaI,sigmaI
400, 200, 40, 0.008,  4, 0.002
420, 200, 40, 0.015,  4, 0.002
440, 200, 40, 0.023,  4, 0.002
460, 200, 40, 0.033,  4, 0.002
480, 200, 40, 0.054,  4, 0.002
500, 200, 40, 0.080,  4, 0.002
520, 200, 40, 0.124,  4, 0.002
540, 200, 40, 0.174,  4, 0.003
560, 200, 40, 0.256,  4, 0.003
580, 200, 40, 0.368,  4, 0.003
600, 200, 40, 0.539,  4, 0.004
620, 200, 40, 0.751,  4, 0.005
640, 200, 40, 1.001,  4, 0.006
660, 200, 40, 1.297,  4, 0.007
680, 200, 40, 1.737,  4, 0.009
700, 200, 50, 2.153,  4, 0.011
720, 200, 50, 2.756,  4, 0.013
740, 200, 50, 3.263,  4, 0.015
760, 200, 50, 3.91 ,  4, 0.02
780, 200, 50, 4.78 , 40, 0.04
800, 200, 50, 5.56 , 40, 0.04
