fondoscalaV, V, sigmaV, I, sigmaI, fondoscalaI
1.00, 4.00, 0.13, 37.85, 0.17, 40
1.00, 3.80, 0.12, 37.40, 0.17, 40
1.00, 3.60, 0.12, 37.37, 0.17, 40
1.00, 3.40, 0.11, 36.85, 0.17, 40
1.00, 3.20, 0.11, 36.78, 0.17, 40
1.00, 3.00, 0.10, 36.26, 0.17, 40
1.00, 2.80, 0.10, 36.16, 0.16, 40
1.00, 2.60, 0.09, 35.65, 0.16, 40
1.00, 2.40, 0.09, 35.52, 0.16, 40
1.00, 2.20, 0.08, 34.95, 0.16, 40
1.00, 2.00, 0.08, 34.84, 0.16, 40
0.50, 1.80, 0.06, 34.20, 0.16, 40
0.50, 1.60, 0.05, 33.84, 0.16, 40
0.50, 1.40, 0.05, 33.42, 0.15, 40
0.50, 1.20, 0.04, 32.92, 0.15, 40
0.50, 1.00, 0.04, 32.31, 0.15, 40
0.20, 0.80, 0.03, 31.44, 0.15, 40
0.20, 0.72, 0.02, 30.96, 0.14, 40
0.20, 0.64, 0.02, 30.26, 0.14, 40
0.20, 0.56, 0.02, 29.30, 0.14, 40
0.20, 0.480, 0.018, 27.91, 0.13, 40
0.20, 0.400, 0.016, 26.30, 0.13, 40
0.20, 0.320, 0.014, 24.21, 0.12, 40
0.20, 0.240, 0.012, 21.50, 0.11, 40
0.05, 0.200, 0.007, 18.59, 0.09, 40
0.05, 0.150, 0.005, 12.98, 0.07, 40
0.05, 0.100, 0.004, 5.90, 0.04, 40
0.05, 0.050, 0.003, 1.200, 0.007, 4
