Volt,mA,Scala(V)
4.00,3.79E+01,1.00
3.80,3.74E+01,1.00
3.60,3.74E+01,1.00
3.40,3.69E+01,1.00
3.20,3.68E+01,1.00
3.00,3.63E+01,1.00
2.80,3.62E+01,1.00
2.60,3.57E+01,1.00
2.40,3.55E+01,1.00
2.20,3.50E+01,1.00
2.00,3.48E+01,1.00
1.80,3.42E+01,0.50
1.60,3.38E+01,0.50
1.40,3.34E+01,0.50
1.20,3.29E+01,0.50
1.00,3.23E+01,0.50
0.80,3.14E+01,0.20
0.72,3.10E+01,0.20
0.64,3.03E+01,0.20
0.56,2.93E+01,0.20
0.48,2.79E+01,0.20
0.40,2.63E+01,0.20
0.32,2.42E+01,0.20
0.24,2.15E+01,0.20
0.20,1.86E+01,0.05
0.15,1.30E+01,0.05
0.10,5.90E+00,0.05
0.05,1.20E+00,0.05
